===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
116/140 [=======================>......] - ETA: 92s - loss: 0.4315 - acc: 0.8366
117/140 [========================>.....] - ETA: 89s - loss: 0.4321 - acc: 0.8365
118/140 [========================>.....] - ETA: 85s - loss: 0.4313 - acc: 0.8367
119/140 [========================>.....] - ETA: 81s - loss: 0.4308 - acc: 0.8369
120/140 [========================>.....] - ETA: 77s - loss: 0.4296 - acc: 0.8372
121/140 [========================>.....] - ETA: 73s - loss: 0.4300 - acc: 0.8369
122/140 [=========================>....] - ETA: 70s - loss: 0.4309 - acc: 0.8366
123/140 [=========================>....] - ETA: 66s - loss: 0.4293 - acc: 0.8371
124/140 [=========================>....] - ETA: 62s - loss: 0.4286 - acc: 0.8373
125/140 [=========================>....] - ETA: 58s - loss: 0.4286 - acc: 0.8375
126/140 [==========================>...] - ETA: 54s - loss: 0.4284 - acc: 0.8378
127/140 [==========================>...] - ETA: 50s - loss: 0.4282 - acc: 0.8377
128/140 [==========================>...] - ETA: 46s - loss: 0.4282 - acc: 0.8377
129/140 [==========================>...] - ETA: 42s - loss: 0.4302 - acc: 0.8371
130/140 [==========================>...] - ETA: 38s - loss: 0.4296 - acc: 0.8376
131/140 [===========================>..] - ETA: 34s - loss: 0.4289 - acc: 0.8378
132/140 [===========================>..] - ETA: 30s - loss: 0.4310 - acc: 0.8370
133/140 [===========================>..] - ETA: 27s - loss: 0.4307 - acc: 0.8373
134/140 [===========================>..] - ETA: 23s - loss: 0.4312 - acc: 0.8372
135/140 [===========================>..] - ETA: 19s - loss: 0.4317 - acc: 0.8370
136/140 [============================>.] - ETA: 15s - loss: 0.4310 - acc: 0.8372
137/140 [============================>.] - ETA: 11s - loss: 0.4309 - acc: 0.8371
138/140 [============================>.] - ETA: 7s - loss: 0.4307 - acc: 0.8374 
139/140 [============================>.] - ETA: 3s - loss: 0.4313 - acc: 0.8371
140/140 [==============================] - 558s - loss: 0.4309 - acc: 0.8374 - val_loss: 0.5973 - val_acc: 0.8134
Epoch 110/200
  1/140 [..............................] - ETA: 457s - loss: 0.4608 - acc: 0.8594
  2/140 [..............................] - ETA: 468s - loss: 0.4867 - acc: 0.8203
  3/140 [..............................] - ETA: 466s - loss: 0.5019 - acc: 0.8281
  4/140 [..............................] - ETA: 459s - loss: 0.4868 - acc: 0.8164
  5/140 [>.............................] - ETA: 455s - loss: 0.4487 - acc: 0.8344
  6/140 [>.............................] - ETA: 438s - loss: 0.4565 - acc: 0.8255
  7/140 [>.............................] - ETA: 432s - loss: 0.4496 - acc: 0.8259
  8/140 [>.............................] - ETA: 430s - loss: 0.4482 - acc: 0.8262
  9/140 [>.............................] - ETA: 428s - loss: 0.4402 - acc: 0.8316
 10/140 [=>............................] - ETA: 419s - loss: 0.4391 - acc: 0.8313
 11/140 [=>............................] - ETA: 419s - loss: 0.4165 - acc: 0.8409
